"Data generated on Tuesday, September 24, 2019 at 12:10:16 PM EST"
Area/Partners of Destination,,,,,January 1999 - December 2019
And Commodities Exported,,,,,Quantities
,,,,,,,January,February,March,April,May,June,July,August,September,October,November,December,Total,,
,Partner,,HS Code,Product,Year,UOM,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","World Total","10","0402100000","NFDM,<1.5% FAT","1999-1999","MT","5,706.1","9,238.1","10,525.3","8,844.0","5,868.3","7,266.7","13,461.5","18,042.6","9,007.6","18,554.0","17,693.9","17,106.9","141,315.1","85","US","R00","0402100000",
"1","World Total","10","0402100000","NFDM,<1.5% FAT","2000-2000","MT","7,234.4","12,031.8","12,816.6","7,374.0","4,057.0","4,206.4","6,889.4","6,987.5","7,857.7","5,199.1","5,973.7","3,636.0","84,263.7","64","US","R00","0402100000",
"1","World Total","10","0402100000","NFDM,<1.5% FAT","2001-2001","MT","4,957.5","4,494.8","5,022.5","8,290.8","10,296.8","5,193.1","4,549.3","9,939.7","10,013.6","10,995.5","10,845.0","11,482.9","96,081.5","-12","US","R00","0402100000",
"1","World Total","10","0402100000","NFDM,<1.5% FAT","2002-2002","MT","1,966.7","1,515.4","2,787.2","10,257.9","3,755.8","5,860.5","5,494.7","7,195.2","6,497.2","8,849.2","12,015.8","8,179.5","74,375.0","-6","US","R00","0402100000",
"1","World Total","10","0402100000","NFDM,<1.5% FAT","2003-2003","MT","7,796.4","3,474.5","3,672.2","7,405.4","5,347.2","13,135.9","14,625.7","13,199.8","12,299.8","9,407.5","12,717.3","10,250.8","113,332.6","11","US","R00","0402100000",
"1","World Total","10","0402100000","NFDM,<1.5% FAT","2004-2004","MT","6,336.9","4,634.9","17,147.6","20,131.6","12,998.3","15,381.3","18,073.2","27,190.5","26,299.1","22,502.2","24,523.0","36,395.7","231,614.4","18","US","R00","0402100000",
"1","World Total","10","0402100000","NFDM,<1.5% FAT","2005-2005","MT","27,331.0","34,233.8","36,176.6","21,850.1","28,917.2","18,572.1","16,978.8","24,834.8","18,615.0","17,491.0","16,176.5","16,228.1","277,404.9","-9","US","R00","0402100000",
"1","World Total","10","0402100000","NFDM,<1.5% FAT","2006-2006","MT","13,749.0","22,756.6","23,307.5","26,528.2","30,294.7","28,490.1","30,473.6","27,337.1","24,343.5","26,450.8","15,923.0","16,942.9","286,597.0","7","US","R00","0402100000",
"1","World Total","10","0402100000","NFDM,<1.5% FAT","2007-2007","MT","16,669.2","21,970.6","21,833.0","19,773.8","24,895.2","23,105.8","19,923.3","15,371.0","23,129.4","20,021.1","28,416.5","22,783.9","257,892.7","-14","US","R00","0402100000",
"1","World Total","10","0402100000","NFDM,<1.5% FAT","2008-2008","MT","32,277.0","37,242.2","35,127.1","37,396.0","46,437.3","45,790.2","30,698.6","36,111.0","29,230.0","24,639.5","15,967.9","20,247.9","391,164.6","-33","US","R00","0402100000",
"1","World Total","10","0402100000","NFDM,<1.5% FAT","2009-2009","MT","21,955.5","12,533.3","15,749.4","18,113.1","20,188.7","20,390.4","27,576.6","27,540.3","19,978.2","29,325.0","19,819.8","14,463.3","247,633.7","35","US","R00","0402100000",
"1","World Total","10","0402100000","NFDM,<1.5% FAT","2010-2010","MT","13,017.8","15,378.9","25,598.5","27,122.7","40,070.7","35,837.0","30,321.3","35,828.3","43,427.2","49,360.1","33,736.8","33,969.6","383,669.0","-15","US","R00","0402100000",
"1","World Total","10","0402100000","NFDM,<1.5% FAT","2011-2011","MT","39,267.4","35,645.6","37,283.8","33,332.4","34,665.3","38,181.3","36,673.2","35,984.5","38,806.6","34,695.1","37,115.9","33,446.7","435,097.9","-4","US","R00","0402100000",
"1","World Total","10","0402100000","NFDM,<1.5% FAT","2012-2012","MT","38,659.1","39,796.5","39,750.4","39,190.9","45,001.1","39,194.9","31,987.1","42,383.0","33,609.4","33,071.2","29,400.4","32,304.6","444,348.6","-18","US","R00","0402100000",
"1","World Total","10","0402100000","NFDM,<1.5% FAT","2013-2013","MT","31,689.0","35,215.9","38,994.6","55,982.6","55,635.7","48,398.9","51,543.5","50,655.1","45,324.6","51,720.0","45,653.8","44,238.7","555,052.5","6","US","R00","0402100000",
"1","World Total","10","0402100000","NFDM,<1.5% FAT","2014-2014","MT","38,835.4","36,169.6","51,468.3","52,967.8","60,349.3","61,113.9","51,903.6","45,306.3","32,136.3","38,575.9","41,755.3","34,133.9","544,715.7","-15","US","R00","0402100000",
"1","World Total","10","0402100000","NFDM,<1.5% FAT","2015-2015","MT","34,683.4","33,837.7","55,127.5","58,075.4","60,641.4","46,741.0","40,548.6","42,835.9","47,377.9","49,827.7","42,574.5","46,179.4","558,450.4","-13","US","R00","0402100000",
"1","World Total","10","0402100000","NFDM,<1.5% FAT","2016-2016","MT","42,412.3","41,734.5","41,168.0","45,569.8","44,626.4","42,356.9","48,172.9","52,384.7","56,911.8","76,550.9","54,505.2","47,652.7","594,046.1","14","US","R00","0402100000",
"1","World Total","10","0402100000","NFDM,<1.5% FAT","2017-2017","MT","47,845.4","52,041.9","48,495.8","55,159.4","58,962.0","45,815.9","41,873.0","49,384.2","40,228.6","50,778.9","55,031.7","60,227.6","605,844.3","-9","US","R00","0402100000",
